"plu_balanza","nombre","precio_venta","codigo_barra_externo","mg"
"557","NOSOTRAS DIA Y NOCHE 6U","1000","0055700000","25"
"558","NOSOTRAS NORMAL C/ALAS 10U","1300","0055800000","25"
"559","NOSOTRAS NOCTURNA SUAVE 8U","1490","0055900000","25"
"560","LADYSOFT NORMAL 8U","1200","0056000000","25"
"561","LADYSOFT ULTRADELGADA 8U","1450","0056100000","25"
"562","LADYSOFT NOCTURNA TELA SUAVE 7","1450","0056200000","25"
"563","LADYSOFT NOCT ULTRADELGADA 14U","2990","0056300000","25"
"564","CIF RECARGA BIOACTIVE 450ML","1250","0056400000","25"
"565","ENO 2X","900","0056500000","25"
"566","DOWNY CONCEN BRISA INTENS 500","2800","0056600000","25"
"567","DOVE STICK INVISIBLE DRY","3500","0056700000","25"
"568","DOVE STICK ORIGINAL","3500","0056800000","25"
"569","DOVE STICK TONO UNIFORME","3500","0056900000","25"
"570","DOVE STICK BAMBOO ALOE VERA","3250","0057000000","25"
"571","DOVE STICK NUTRITIVE SECRETS","3250","0057100000","25"
"572","ESPUMA AFE CLASIC GILLETTE 200","3750","0057200000","25"
"573","LADY SPEED STICK POWDER FRESH","3400","0057300000","25"
"574","DOVE ORIGINAL AEROSOL 87G","3500","0057400000","25"
"575","OLD SPICE LE A 150ML","3700","0057500000","25"
